Sex,Length,Diameter,Height,Whole Weight,Shucked weight,Viscera Weight,Shell Weight,Rings
I,0.375,0.28,0.08,0.2235,0.115,0.043,0.055,6
I,0.415,0.31,0.095,0.34,0.181,0.057,0.083,6
I,0.455,0.35,0.135,0.5365,0.2855,0.0855,0.1325,7
I,0.48,0.35,0.105,0.635,0.352,0.127,0.135,6
I,0.485,0.375,0.125,0.562,0.2505,0.1345,0.1525,8
I,0.51,0.39,0.125,0.597,0.293,0.1265,0.1555,8
M,0.52,0.395,0.125,0.5815,0.2565,0.1265,0.17,10
F,0.555,0.43,0.14,0.7545,0.3525,0.1835,0.2015,9
M,0.585,0.465,0.15,0.98,0.4315,0.2545,0.247,9
F,0.585,0.46,0.15,1.0035,0.503,0.2105,0.2515,11
M,0.585,0.455,0.155,1.133,0.5515,0.223,0.305,12
M,0.61,0.49,0.16,1.146,0.597,0.246,0.265,8
M,0.61,0.475,0.15,1.142,0.62,0.237,0.245,9
M,0.615,0.53,0.17,1.12,0.5775,0.2095,0.286,9
F,0.62,0.465,0.14,1.011,0.479,0.2385,0.255,8
M,0.625,0.505,0.175,1.131,0.5425,0.2265,0.323,8
M,0.625,0.48,0.175,1.065,0.4865,0.259,0.285,10
M,0.635,0.48,0.145,1.181,0.665,0.229,0.225,10
F,0.64,0.525,0.175,1.382,0.646,0.3115,0.37,9
M,0.66,0.505,0.19,1.4385,0.6775,0.285,0.178,11
M,0.66,0.485,0.155,1.2275,0.61,0.274,0.3,8
M,0.66,0.515,0.155,1.4415,0.7055,0.3555,0.335,10
F,0.68,0.55,0.175,1.473,0.713,0.282,0.4295,11
F,0.69,0.58,0.195,1.658,0.708,0.3615,0.4715,10
M,0.72,0.545,0.195,1.7475,0.8215,0.383,0.4705,11
I,0.275,0.2,0.07,0.096,0.037,0.0225,0.03,6
I,0.33,0.245,0.065,0.1445,0.058,0.032,0.0505,6
I,0.33,0.26,0.085,0.1965,0.0915,0.0425,0.055,7
I,0.365,0.28,0.09,0.196,0.0865,0.036,0.0605,7
I,0.365,0.27,0.09,0.2155,0.1005,0.049,0.0655,6
I,0.42,0.31,0.1,0.2805,0.1125,0.0615,0.0925,8
I,0.435,0.335,0.11,0.334,0.1355,0.0775,0.0965,7
I,0.435,0.325,0.1,0.366,0.174,0.0725,0.109,7
I,0.44,0.325,0.11,0.4965,0.258,0.1195,0.1075,8
I,0.485,0.365,0.09,0.651,0.3165,0.132,0.18,8
I,0.495,0.385,0.125,0.5125,0.2075,0.1155,0.172,10
M,0.51,0.405,0.125,0.6925,0.327,0.155,0.1805,7
I,0.52,0.41,0.14,0.5995,0.242,0.1375,0.182,11
