Account_length;Total_day_minutes;Total_day_charge;Total_eve_minutes;Total_eve_charge;Total_intl_minutes;Total_intl_calls;Total_intl_charge;Customer_service_calls;Churn_1;International_planNo;International_planYes;Voice_mail_planNo;Voice_mail_planYes;PrinComp_1;PrinComp_2;PrinComp_3;PrinComp_4;PrinComp_5;PrinComp_6;PrinComp_7;PrinComp_8;PrinComp_9;PrinComp_10;PrinComp_11;PrinComp_12;PrinComp_13;PrinComp_14
117.0;184.5;31.37;351.6;29.89;8.7;4.0;2.35;1.0;0.0;1.0;0.0;1.0;0.0;1.28299;0.80541;-3.5912621;-0.9556934;1.39005;1.05048;-0.2974018;0.16179;0.79999;-0.00060956;-0.00063971;0.00034267;7.3479e-14;2.0434e-14
65.0;129.1;21.95;228.5;19.42;12.7;6.0;3.43;4.0;1.0;1.0;0.0;1.0;0.0;0.31804;-0.1317048;-0.2871948;-1.10483634;1.81289;-2.9531;0.57382;-0.67578964;-1.0608099;-7.3145e-05;0.00046171;0.0001727;1.0778e-13;-1.4427e-13
161.0;332.9;56.59;317.8;27.01;5.4;9.0;1.46;4.0;1.0;1.0;0.0;1.0;0.0;5.22047;1.45689;-2.8889283;-0.63304078;-1.4485255;-0.86292;2.48508;-0.09257221;0.14003;-0.0012503;0.00042602;-0.0002664;-1.0044e-13;6.6116e-15
111.0;110.4;18.77;137.3;11.67;7.7;6.0;2.08;2.0;0.0;1.0;0.0;1.0;0.0;-1.4700223;1.72434;1.19628;1.50858;0.58799;-0.38715;0.81935;-0.12727794;-0.10680047;-0.00022632;0.00011959;9.9357e-05;4.5945e-14;-5.334e-14
49.0;119.3;20.28;215.1;18.28;11.1;1.0;3.0;1.0;0.0;1.0;0.0;1.0;0.0;-1.1952085;0.63108;-0.1393165;-0.3726136;1.46051;-0.26866;-1.9102855;-0.01303421;-0.08135825;-0.0024612;0.00065849;-0.0001651;-6.5132e-14;-6.4554e-14
36.0;146.3;24.87;162.5;13.81;14.5;6.0;3.92;0.0;0.0;1.0;0.0;0.0;1.0;-2.5099331;-2.1419939;0.76296;-0.77235055;-0.718685;0.1979;-0.6667858;-1.64946052;-0.88883979;-0.0040385;0.00043777;-0.00012881;-1.0195e-13;-2.5445e-14
65.0;211.3;35.92;162.6;13.82;13.2;5.0;3.56;3.0;0.0;1.0;0.0;1.0;0.0;0.04712;0.06705;1.82149;-1.33585131;-0.1370722;-0.9495;-0.2365507;-0.68960521;0.88775;0.004256;0.00010672;-0.00011565;5.2607e-14;-5.2678e-15
119.0;159.1;27.05;231.3;19.66;8.8;3.0;2.38;5.0;1.0;1.0;0.0;1.0;0.0;1.22722;0.93656;-0.9203824;0.06098;0.82675;-3.1266;0.65671;1.1123;-0.52367885;-0.0029767;0.00017006;0.00015619;1.4471e-14;-6.7829e-14
10.0;186.1;31.64;190.2;16.17;11.4;6.0;3.08;2.0;0.0;1.0;0.0;1.0;0.0;-0.1332667;0.54786;0.81856;-0.74733876;0.28805;-0.66056;-0.9512954;-2.02784618;0.43406;-0.0014426;-0.00052124;0.00019593;5.8108e-15;4.719e-14
68.0;148.8;25.3;246.5;20.95;12.1;3.0;3.27;3.0;0.0;1.0;0.0;1.0;0.0;-0.3245923;0.19872;-0.6241391;-1.09569621;1.40075;-1.0534;-0.7994057;-0.14442858;0.99862;-0.002316;0.00046557;0.00022055;8.0251e-14;-1.491e-13
